numero,annee,article,bureau,code_commission,code_imp,commissionnaire,importateur,numero.1,origine,produit,provenance,regime,date,libelle_produit,origine_encoded,provenance_encoded,importateur_encoded,commissionnaire_encoded,regime_encoded,pays_correspondance,transaction_repetitivite,risk_score,risk_category
37889,2018,2,10S,31166,31166,Enulautus,Digucus,49321,CHINE,8415909000,CHINE,1450,02/05/2018,#NOM?,21,21,2061,220,3,1,0.7296511627906976,0.4691954385900628,Orange (Risque Modéré)
37890,2019,7,19C,91861,109003,Banus,Babibogustor,18187,CHINE,8516609000,CHINE,8797,22/11/2019,#NOM?,21,21,941,83,67,1,0.0,0.25554152745664355,Vert (Risque Faible)
37891,2018,4,15M,6482,6482,Bafribofridatus,Enulius,17431,SÉNÉGAL,303330000,SÉNÉGAL,9969,27/09/2018,"- POISSONS PLATS (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE ET CITHARIDAE),A L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0303.91 À 0303.99:
--SOLES (SOLEA SPP.)",96,93,2746,77,85,1,0.561046511627907,0.22234765503311582,Vert (Risque Faible)
37892,2018,5,15M,6482,6482,Bafribofridatus,Enulius,17431,SÉNÉGAL,307590000,SÉNÉGAL,9969,27/09/2018,- POULPES OU PIEUVRES (OCTOPUS SPP.) :-- AUTRES    ,96,93,2746,77,85,1,0.561046511627907,0.22118765719306066,Vert (Risque Faible)
37893,2019,6,19C,28681,11294,Alfrifrilius,Dunulaufribudatus,18239,CHINE,8504401000,CHINE,8797,22/11/2019,#NOM?,21,21,2546,26,67,1,0.0,0.03795818851011502,Vert (Risque Faible)
37894,2018,6,15M,6482,6482,Bafribofridatus,Enulius,17431,SÉNÉGAL,303390000,SÉNÉGAL,9969,27/09/2018,"- POISSONS PLATS (PLEURONECTIDAE, BOTHIDAE, CYNOGLOSSIDAE, SOLEIDAE, SCOPHTHALMIDAE ET CITHARIDAE),A L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0303.91 À 0303.99:
--AUTRES",96,93,2746,77,85,1,0.561046511627907,0.41978513619284813,Orange (Risque Modéré)
37895,2018,1,15M,29634,24569,Ebonulauboes,Agusbebebiguscio,17442,SÉNÉGAL,307590000,SÉNÉGAL,6171,27/09/2018,- POULPES OU PIEUVRES (OCTOPUS SPP.) :-- AUTRES    ,96,93,196,211,48,1,0.08720930232558138,0.17322128694630315,Vert (Risque Faible)
37896,2018,2,15M,29634,24569,Ebonulauboes,Agusbebebiguscio,17442,SÉNÉGAL,307490000,SÉNÉGAL,6171,27/09/2018,- SEICHES ET SEPIOLES; CALMARS ET ENCORNETS :-- AUTRES,96,93,196,211,48,1,0.08720930232558138,0.1728693070281426,Vert (Risque Faible)
37897,2018,3,15M,29634,24569,Ebonulauboes,Agusbebebiguscio,17442,SÉNÉGAL,306170000,SÉNÉGAL,6171,27/09/2018,#NOM?,96,93,196,211,48,1,0.08720930232558138,0.27958243259799936,Vert (Risque Faible)
37898,2018,4,15M,29634,24569,Ebonulauboes,Agusbebebiguscio,17442,SÉNÉGAL,304990000,SÉNÉGAL,6171,27/09/2018,"-AUTRES, CONGELES : 
-- AUTRES ",96,93,196,211,48,1,0.08720930232558138,0.03667710204006265,Vert (Risque Faible)
